airport,Clothing & Accessories,Containers,Cosmetics,Electronics,Food & Drink,Household Items,Other,Outdoors Supplies,Supplies,Tools & Machines,Watches & Jewelry
BHB,1,0,0,1,0,0,2,0,0,1,1
BHM,31,4,16,50,0,0,39,4,3,8,23
BIL,12,2,5,10,1,1,23,6,3,4,10
BIS,2,1,3,7,1,0,3,2,1,2,5
BJI,3,1,0,2,0,0,3,0,0,1,3
BKG,1,0,5,1,0,0,0,0,0,0,1
BKW,1,0,0,0,0,0,1,0,0,0,0
BLF,0,0,0,1,0,0,0,0,0,0,1
BLI,12,5,3,12,3,0,13,4,0,6,7
BLV,1,0,2,1,0,0,1,1,0,0,0
BMI,9,2,4,13,0,0,10,1,1,2,6
BNA,152,18,68,175,6,6,173,12,11,46,104
BOI,43,8,32,41,0,1,72,10,3,15,25
BOS,491,133,265,898,33,21,579,81,27,103,360
BPT,1,1,3,5,0,0,1,0,0,0,2
BQK,2,0,2,4,1,1,1,2,0,0,0
BQN,5,3,6,15,7,0,9,0,2,2,29
BRD,9,0,0,1,0,0,0,0,0,2,2
BRO,0,0,0,2,0,0,3,1,0,0,1
BRW,3,0,0,1,0,0,0,0,0,0,1
BTM,3,0,0,4,0,0,7,1,0,2,1
BTR,12,4,15,19,1,0,21,1,0,4,16
BTV,42,6,25,44,5,2,52,8,1,26,38
BUF,82,22,47,92,9,0,125,13,6,23,67
BUR,68,19,42,149,3,3,101,16,4,26,57
BWI,302,93,185,437,14,4,479,45,15,111,303
BZN,16,5,8,25,1,0,42,6,2,9,16
C,0,0,0,0,0,0,2,0,0,0,0
CAE,17,2,11,18,0,1,22,1,1,10,14
CAK,22,6,20,29,4,2,47,5,3,9,23
CDC,2,0,0,3,0,0,2,0,0,0,2
CDV,0,0,1,0,0,0,0,3,0,1,2
CEC,0,0,0,3,0,0,1,0,0,0,0
CHA,3,4,3,7,0,1,5,4,2,1,8
CHO,12,3,12,15,0,0,17,2,0,3,11
CHS,45,12,31,49,5,2,41,6,0,19,49
CIC,1,0,0,5,0,0,1,0,0,2,2
CID,5,1,5,18,0,0,14,2,0,3,13
CIU,0,0,0,1,0,0,0,0,0,0,0
CKB,1,0,0,0,0,0,2,0,0,0,1
CLE,127,24,61,165,11,4,212,14,9,32,118
CLL,6,0,3,3,0,0,3,2,1,3,3
